Code,Meaning,Comments
"4","Divorced, with dependents",""
"8","Divorced, without dependents",""
"2","Married",""
"3","Separated, with dependents",""
"7","Separated, without dependents",""
"1","Single, with dependents",""
"6","Single, without dependents",""
"5","Widower or widow, with dependents",""
"9","Widower or widow, without dependents",""
