Code,Meaning,Comments
"2","Enlistment for Alaska",""
"3","Enlistment for Hawaiian Department",""
"4","Enlistment for assignment to another corps area",""
"6","Enlistment for the Panama Canal Department",""
"7","Enlistment for the Philippine Department",""
"8","Enlistment for the Puerto Rican Department",""
"5","Enlistment for the duration of the War or other emergency, plus six months, subject to the discretion of the President or otherwise according to law",""
"1","One year enlistment",""
"9","Three year enlistment",""
