Code,Meaning,Comments
"5","1 year of college",""
"1","1 year of high school",""
"6","2 years of college",""
"2","2 years of high school",""
"7","3 years of college",""
"3","3 years of high school",""
"8","4 years of college",""
"4","4 years of high school",""
"0","Grammar school",""
"9","Post-graduate",""
