Code,Meaning,Comments
"9","Aviation Cadet",""
"6","Corporal",""
"2","First Sergeant",""
"1","Master Sergeant",""
"8","Private",""
"7","Private First Class",""
"5","Sergeant",""
"4","Staff Sergeant",""
"3","Technical Sergeant",""
"M","Technician 3d Grade","Equivalent to Grade 4: Staff Sergeant"
"N","Technician 4th Grade","Equivalent to Code 5: Sergeant"
"O","Technician 5th Grade","Equivalent to Grade 6: Corporal"
