cohort,prop_dying,dataset
1900,0.09715161179268289,Numident (1999-2005)
1901,0.11935743731216879,Numident (1999-2005)
1902,0.14063852602774626,Numident (1999-2005)
1903,0.16364762738007377,Numident (1999-2005)
1904,0.18826818450377866,Numident (1999-2005)
1905,0.21428798920880235,Numident (1999-2005)
1906,0.24349473483836992,Numident (1999-2005)
1907,0.26809075810213656,Numident (1999-2005)
1908,0.2972445958414912,Numident (1999-2005)
1909,0.32808140681139814,Numident (1999-2005)
1910,0.3467135658287454,Numident (1999-2005)
1911,0.3743817403055856,Numident (1999-2005)
1912,0.3921007807399219,Numident (1999-2005)
1913,0.4091915647195451,Numident (1999-2005)
1914,0.4218718136912413,Numident (1999-2005)
1915,0.4355759647124126,Numident (1999-2005)
1916,0.4466473342981139,Numident (1999-2005)
1917,0.45138629334905855,Numident (1999-2005)
1918,0.4518877326147475,Numident (1999-2005)
1919,0.44863086759775145,Numident (1999-2005)
1920,0.44067374640963036,Numident (1999-2005)
1921,0.43226237645936694,Numident (1999-2005)
1922,0.4199863778007157,Numident (1999-2005)
1923,0.4083619642638069,Numident (1999-2005)
1924,0.3962183180212518,Numident (1999-2005)
1925,0.38117034890555224,Numident (1999-2005)
1926,0.3656452224542548,Numident (1999-2005)
1927,0.3537757054933503,Numident (1999-2005)
1928,0.3356225819250177,Numident (1999-2005)
1929,0.31485853712967155,Numident (1999-2005)
1930,0.30418310156877937,Numident (1999-2005)
1931,0.283509835212645,Numident (1999-2005)
1932,0.2752051520559012,Numident (1999-2005)
1933,0.25305890259590375,Numident (1999-2005)
1934,0.23993589505354357,Numident (1999-2005)
1935,0.222591430579392,Numident (1999-2005)
1936,0.20822170574371676,Numident (1999-2005)
1937,0.19340382023622169,Numident (1999-2005)
1938,0.1811263985443337,Numident (1999-2005)
1939,0.16533103324162243,Numident (1999-2005)
1940,0.14730583949101372,Numident (1999-2005)
